group,n,true_evac_rate,LLM_acc,RF_acc,LR_acc,LLM_p_mean
age:18-44 (2-4),112,0.8392857142857143,0.7857142857142857,0.8303571428571429,0.8392857142857143,0.8660714285714286
age:45-64 (5-6),137,0.7226277372262774,0.6788321167883211,0.7299270072992701,0.7226277372262774,0.8740875912408759
age:65+ (7-9),82,0.6707317073170732,0.6463414634146342,0.6341463414634146,0.6707317073170732,0.864329268292683
vehicles:0-1,62,0.5806451612903226,0.5483870967741935,0.6451612903225806,0.5806451612903226,0.7217741935483871
vehicles:2,138,0.7898550724637681,0.7391304347826086,0.7753623188405797,0.7898550724637681,0.8759057971014492
vehicles:3+,135,0.7703703703703704,0.7333333333333333,0.7481481481481481,0.7703703703703704,0.9305555555555556
income:low(<$50k),81,0.8148148148148148,0.654320987654321,0.7901234567901234,0.8148148148148148,0.5833333333333334
income:mid($50-100k),105,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.9619047619047619
income:high(>$100k),106,0.7641509433962265,0.7641509433962265,0.7547169811320755,0.7641509433962265,0.9929245283018868
household:1 (独居),50,0.62,0.58,0.7,0.62,0.835
household:2,134,0.7164179104477612,0.6716417910447762,0.6940298507462687,0.7164179104477612,0.8507462686567164
household:3+,150,0.8066666666666666,0.7666666666666667,0.7933333333333333,0.8066666666666666,0.8966666666666666
outcome:撤离者,249,1.0,0.9196787148594378,0.9598393574297188,1.0,0.8689759036144579
outcome:留守者,86,0.0,0.06976744186046512,0.10465116279069768,0.0,0.8706395348837209
