respondent_id,departure_datetime,first_warning_datetime,warning_to_departure_hours,departure_before_reported_warning
R_3HYQaAwgSDH6m09,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_214fs53Eyx2IUZu,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_2y2WmToHHc2FwBw,2018-07-26 17:00:00,2018-07-26 10:00:00,7.0,0
R_1rfFkFz5MfOfX7v,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_8v5eE8XXDFsn58R,2018-07-26 03:00:00,2018-07-25 23:00:00,4.0,0
R_RCCMj38apO147KN,2018-07-26 23:00:00,2018-07-26 22:00:00,1.0,0
R_29lXYUJxqAqRFHs,2018-07-26 21:00:00,2018-07-26 21:00:00,0.0,0
R_2VEJppQG79sMcn0,2018-07-26 00:00:00,2018-07-26 23:00:00,-23.0,1
R_qwFc5AgdT4ipeBr,2018-07-26 22:00:00,2018-07-26 19:00:00,3.0,0
R_3GlHfAkhjWTAi5L,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_2CmmXwza9stVWYV,2018-07-26 07:00:00,2018-07-26 06:00:00,1.0,0
R_1FkZ31bGxeQQEii,2018-08-03 17:00:00,2018-08-03 16:00:00,1.0,0
R_2WYlEYmRQregQIS,2018-07-26 15:00:00,2018-07-26 14:00:00,1.0,0
R_2BlH45jgHLZXTkT,2018-07-26 21:00:00,2018-07-26 21:00:00,0.0,0
R_1q55qZwsAdoUrlO,2018-07-26 04:00:00,2018-07-25 02:00:00,26.0,0
R_2CNAOuStkIzk9Gl,2018-07-26 16:00:00,2018-07-26 16:00:00,0.0,0
R_2TYtQbelHiyzHJg,2018-07-25 20:00:00,2018-07-25 20:00:00,0.0,0
R_3gLQyED9bHCPCuu,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_1gwhe8S1weMTT5S,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_2CVcvS2SQ2pWxWe,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_pxtbmEy2KwLtXEZ,2018-07-26 21:00:00,2018-07-26 23:00:00,-2.0,1
R_3dN726s4FYkFFQO,2018-07-25 19:00:00,2018-07-25 16:00:00,3.0,0
R_bskEB2wjCxDkVMJ,2018-07-26 15:00:00,2018-07-26 15:00:00,0.0,0
R_bBDyRWRyvF9mZ3P,2018-07-25 16:00:00,2018-07-25 17:00:00,-1.0,1
R_3PsPxOh6LLsy9kL,2018-07-26 14:00:00,2018-07-26 02:00:00,12.0,0
R_AEQ7Q3W046FhPGx,2018-07-26 20:00:00,2018-07-26 09:00:00,11.0,0
R_2dtgUICtG6oFXwj,2018-07-28 22:00:00,2018-07-26 17:00:00,53.0,0
R_1pN0qThCYAndA7y,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_8HQ7KhyboIEP0it,2018-07-23 14:00:00,2018-07-23 14:00:00,0.0,0
R_3O0mWfYcYYFnIDf,2018-07-26 20:00:00,2018-07-26 16:00:00,4.0,0
R_2ZKYblwPzbWxcrl,2018-07-26 22:00:00,2018-07-26 22:00:00,0.0,0
R_2rbK13SZ4sOS7EB,2018-07-27 16:00:00,2018-07-27 16:00:00,0.0,0
R_3eb13nVdpG4Rd4Z,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_2ALwsMFo7M9vEdg,2018-07-26 21:00:00,2018-07-26 01:00:00,20.0,0
R_2zI7G295G3yIduc,2018-07-25 21:00:00,2018-07-25 03:00:00,18.0,0
R_3kAhg3BZbZZQnbv,2018-07-26 11:00:00,2018-07-26 11:00:00,0.0,0
R_3hilKMtLHbR1mi8,2018-07-25 20:00:00,2018-07-25 01:00:00,19.0,0
R_WBDuuV9HUcTsAy5,2018-07-26 17:00:00,2018-07-26 17:00:00,0.0,0
R_1Ld6h6OWH6Xr9Bb,2018-07-26 03:00:00,2018-07-26 02:00:00,1.0,0
R_AvpNaOUTASQRFXr,2018-07-26 18:00:00,2018-07-26 21:00:00,-3.0,1
R_ab2s6og5UTD31Xr,2018-07-26 20:00:00,2018-07-26 15:00:00,5.0,0
R_271ApfZ9RaGvajr,2018-07-26 17:00:00,2018-07-26 17:00:00,0.0,0
R_tDSV6UjUq4vBPs5,2018-07-26 19:00:00,2018-07-26 20:00:00,-1.0,1
R_3EzEyGcDxUVCdP5,2018-07-26 06:00:00,2018-07-26 03:00:00,3.0,0
R_siL7zQHlAXuK9Ut,2018-07-26 17:00:00,2018-07-26 16:00:00,1.0,0
R_AmtiP2Wlk81GXdf,2018-07-26 19:00:00,2018-07-26 09:00:00,10.0,0
R_1JCQqPhAyLucLVx,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_2QfF1XV9GxlBVgo,2018-07-26 04:00:00,2018-07-26 16:00:00,-12.0,1
R_2CDOL017In2GE0L,2018-07-26 12:00:00,2018-07-26 11:00:00,1.0,0
R_1qVvdoyKJO3PVN6,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_vJ0PdeZvWd84FsR,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_3kMOJiJEAwzErMG,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_REvvNELPTbOhvyN,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_2VayyHcyRL6NR8G,2018-07-26 01:00:00,2018-07-26 01:00:00,0.0,0
R_1i9d7sblHWr4idw,2018-07-26 20:00:00,2018-07-26 08:00:00,12.0,0
R_Us8bQo8VUUZJXvb,2018-07-26 17:00:00,2018-07-26 17:00:00,0.0,0
R_eFqygZWq3tVf58B,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_32Jdf3pbaK5npi2,2018-07-26 19:00:00,2018-07-26 18:00:00,1.0,0
R_3K8O4GRGh0Zf2bn,2018-07-26 17:00:00,2018-07-26 18:00:00,-1.0,1
R_XXJfPxYVpSLfzKV,2018-07-27 18:00:00,2018-07-26 18:00:00,24.0,0
R_6ulxI9zrzAFBOa5,2018-07-26 15:00:00,2018-07-26 10:00:00,5.0,0
R_cAuJZJ7D0UCl74l,2018-07-26 19:00:00,2018-07-26 00:00:00,19.0,0
R_2xOXUhHn76pofW2,2018-08-01 09:00:00,2018-07-26 17:00:00,136.0,0
R_3shMMIMVMkg7QqO,2018-07-26 06:00:00,2018-07-26 06:00:00,0.0,0
R_2zciyIgNKiOnjlN,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_WdML0kgP9mU0xyx,2018-07-26 15:00:00,2018-07-26 15:00:00,0.0,0
R_2R7XCdry009sMs7,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_28BNLdRHyLhYtb3,2018-07-25 05:00:00,2018-07-26 23:00:00,-42.0,1
R_UfsghwRX3r432SZ,2018-07-25 16:00:00,2018-07-25 16:00:00,0.0,0
R_tYsMDVm5fgiTSIV,2018-07-26 12:00:00,2018-07-25 21:00:00,15.0,0
R_30jVEw1KXT9QvAX,2018-07-26 14:00:00,2018-07-26 13:00:00,1.0,0
R_RCU8zvfBinzZjjj,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_1OB7z6DHo9mVadi,2018-07-27 19:00:00,2018-07-27 18:00:00,1.0,0
R_9RyDuMAkXshs5R7,2018-07-28 14:00:00,2018-07-27 17:00:00,21.0,0
R_2TZZDWGdQMGwQwY,2018-07-26 18:00:00,2018-07-26 17:00:00,1.0,0
R_1otAkCBHetuuXgH,2018-07-26 18:00:00,2018-07-26 17:00:00,1.0,0
R_3HCCalm3gEyP2CR,2018-07-25 09:00:00,2018-07-25 09:00:00,0.0,0
R_30iQRpdEX68gtRD,2018-07-26 17:00:00,2018-07-26 17:00:00,0.0,0
R_3QVkCBRUGwSmsj5,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_2v199wHM2R6DnFT,2018-07-26 13:00:00,2018-07-26 09:00:00,4.0,0
R_vGe2GVjTs8dQ7Dz,2018-07-26 19:00:00,2018-07-26 20:00:00,-1.0,1
R_3nxDg5hZ8MeOKPa,2018-07-26 16:00:00,2018-07-26 16:00:00,0.0,0
R_1mDEG0W5RP7YzwZ,2018-07-26 13:00:00,2018-07-26 13:00:00,0.0,0
R_1pKIZ8mRKHQvFJf,2018-07-26 17:00:00,2018-07-26 16:00:00,1.0,0
R_ZsmiajEQ5hrSUdX,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_eXQdWD2FDPrrjdT,2018-07-26 05:00:00,2018-07-26 16:00:00,-11.0,1
R_sL2hnT1TtO8vHb3,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_3KxOQZ96OxoTUnF,2018-07-26 19:00:00,2018-07-26 18:00:00,1.0,0
R_1pSFPiR6JoGUx1r,2018-07-26 19:00:00,2018-07-26 21:00:00,-2.0,1
R_2WUWnxZONDutLyN,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_2CZd5z9WIaZnS2Q,2018-07-27 09:00:00,2018-07-28 04:00:00,-19.0,1
R_3lANstbO1QBPjXg,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_1eLQJD5ub8SF5PP,2018-07-25 15:00:00,2018-07-25 15:00:00,0.0,0
R_exqr34JSEOs4w6d,2018-07-26 08:00:00,2018-07-26 07:00:00,1.0,0
R_3pu85WHYLjjFz0F,2018-08-02 18:00:00,2018-07-26 17:00:00,169.0,0
R_2XhAkpiA0FoatUY,2018-07-25 22:00:00,2018-07-25 08:00:00,14.0,0
R_21yOfQRmq4xw9qX,2018-07-25 03:00:00,2018-07-25 03:00:00,0.0,0
R_25LsOTTOPmYycqA,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_3MKfCzbOQ1iyRVV,2018-07-26 19:00:00,2018-07-26 22:00:00,-3.0,1
R_0v1xWjucAtCjVKN,2018-07-26 08:00:00,2018-07-24 15:00:00,41.0,0
R_1etvCdiPjQrlQUU,2018-07-27 16:00:00,2018-07-26 13:00:00,27.0,0
R_2uWZV7qqo7vE11R,2018-07-26 07:00:00,2018-07-26 02:00:00,5.0,0
R_2wMsz7LG0sfbeH1,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
