hours_since_fire,departed_count,departed_share,denominator_q9_answered
0.0,0,0.0,330
0.5,0,0.0,330
1.0,1,0.0030303030303030303,330
1.5,1,0.0030303030303030303,330
2.0,3,0.00909090909090909,330
2.5,3,0.00909090909090909,330
3.0,3,0.00909090909090909,330
3.5,3,0.00909090909090909,330
4.0,3,0.00909090909090909,330
4.5,3,0.00909090909090909,330
5.0,3,0.00909090909090909,330
5.5,3,0.00909090909090909,330
6.0,5,0.015151515151515152,330
6.5,5,0.015151515151515152,330
7.0,5,0.015151515151515152,330
7.5,5,0.015151515151515152,330
8.0,5,0.015151515151515152,330
8.5,5,0.015151515151515152,330
9.0,5,0.015151515151515152,330
9.5,5,0.015151515151515152,330
10.0,5,0.015151515151515152,330
10.5,5,0.015151515151515152,330
11.0,5,0.015151515151515152,330
11.5,5,0.015151515151515152,330
12.0,5,0.015151515151515152,330
12.5,5,0.015151515151515152,330
13.0,5,0.015151515151515152,330
13.5,5,0.015151515151515152,330
14.0,5,0.015151515151515152,330
14.5,5,0.015151515151515152,330
15.0,5,0.015151515151515152,330
15.5,5,0.015151515151515152,330
16.0,5,0.015151515151515152,330
16.5,5,0.015151515151515152,330
17.0,6,0.01818181818181818,330
17.5,6,0.01818181818181818,330
18.0,7,0.021212121212121213,330
18.5,7,0.021212121212121213,330
19.0,7,0.021212121212121213,330
19.5,7,0.021212121212121213,330
20.0,7,0.021212121212121213,330
20.5,7,0.021212121212121213,330
21.0,7,0.021212121212121213,330
21.5,7,0.021212121212121213,330
22.0,7,0.021212121212121213,330
22.5,7,0.021212121212121213,330
23.0,8,0.024242424242424242,330
23.5,8,0.024242424242424242,330
24.0,8,0.024242424242424242,330
24.5,8,0.024242424242424242,330
25.0,8,0.024242424242424242,330
25.5,8,0.024242424242424242,330
26.0,8,0.024242424242424242,330
26.5,8,0.024242424242424242,330
27.0,8,0.024242424242424242,330
27.5,8,0.024242424242424242,330
28.0,8,0.024242424242424242,330
28.5,8,0.024242424242424242,330
29.0,9,0.02727272727272727,330
29.5,9,0.02727272727272727,330
30.0,10,0.030303030303030304,330
30.5,10,0.030303030303030304,330
31.0,10,0.030303030303030304,330
31.5,10,0.030303030303030304,330
32.0,10,0.030303030303030304,330
32.5,10,0.030303030303030304,330
33.0,11,0.03333333333333333,330
33.5,11,0.03333333333333333,330
34.0,11,0.03333333333333333,330
34.5,11,0.03333333333333333,330
35.0,11,0.03333333333333333,330
35.5,11,0.03333333333333333,330
36.0,11,0.03333333333333333,330
36.5,11,0.03333333333333333,330
37.0,11,0.03333333333333333,330
37.5,11,0.03333333333333333,330
38.0,14,0.04242424242424243,330
38.5,14,0.04242424242424243,330
39.0,15,0.045454545454545456,330
39.5,15,0.045454545454545456,330
40.0,16,0.048484848484848485,330
40.5,16,0.048484848484848485,330
41.0,17,0.051515151515151514,330
41.5,17,0.051515151515151514,330
42.0,18,0.05454545454545454,330
42.5,18,0.05454545454545454,330
43.0,18,0.05454545454545454,330
43.5,18,0.05454545454545454,330
44.0,19,0.05757575757575758,330
44.5,19,0.05757575757575758,330
45.0,19,0.05757575757575758,330
45.5,19,0.05757575757575758,330
46.0,19,0.05757575757575758,330
46.5,19,0.05757575757575758,330
47.0,19,0.05757575757575758,330
47.5,19,0.05757575757575758,330
48.0,19,0.05757575757575758,330
48.5,19,0.05757575757575758,330
49.0,19,0.05757575757575758,330
49.5,19,0.05757575757575758,330
50.0,20,0.06060606060606061,330
50.5,20,0.06060606060606061,330
51.0,23,0.0696969696969697,330
51.5,23,0.0696969696969697,330
52.0,24,0.07272727272727272,330
52.5,24,0.07272727272727272,330
53.0,27,0.08181818181818182,330
53.5,27,0.08181818181818182,330
54.0,28,0.08484848484848485,330
54.5,28,0.08484848484848485,330
55.0,30,0.09090909090909091,330
55.5,30,0.09090909090909091,330
56.0,31,0.09393939393939393,330
56.5,31,0.09393939393939393,330
57.0,34,0.10303030303030303,330
57.5,34,0.10303030303030303,330
58.0,35,0.10606060606060606,330
58.5,35,0.10606060606060606,330
59.0,37,0.11212121212121212,330
59.5,37,0.11212121212121212,330
60.0,40,0.12121212121212122,330
60.5,40,0.12121212121212122,330
61.0,40,0.12121212121212122,330
61.5,40,0.12121212121212122,330
62.0,45,0.13636363636363635,330
62.5,45,0.13636363636363635,330
63.0,49,0.1484848484848485,330
63.5,49,0.1484848484848485,330
64.0,54,0.16363636363636364,330
64.5,54,0.16363636363636364,330
65.0,58,0.17575757575757575,330
65.5,58,0.17575757575757575,330
66.0,64,0.19393939393939394,330
66.5,64,0.19393939393939394,330
67.0,68,0.20606060606060606,330
67.5,68,0.20606060606060606,330
