seed,step,hours,official_recipients,first_departures,joint_agreement_households,joint_execution_households,active_private_plans,all_safe_households,official_recipient_share,first_departure_share,all_safe_household_share,joint_agreement_household_share,joint_execution_household_share
7201,1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7201,2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7201,3,1.5,5,1,0,0,4,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.0,0.0
7201,4,2.0,5,1,0,0,4,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.0,0.0
7201,5,2.5,5,1,0,0,4,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.0,0.0
7201,6,3.0,5,2,0,0,3,2,0.16129032258064516,0.06451612903225806,0.08333333333333333,0.0,0.0
7201,7,3.5,17,7,0,0,10,6,0.5483870967741935,0.22580645161290322,0.25,0.0,0.0
7201,8,4.0,17,7,2,0,12,6,0.5483870967741935,0.22580645161290322,0.25,0.2857142857142857,0.0
7201,9,4.5,17,7,3,0,13,6,0.5483870967741935,0.22580645161290322,0.25,0.42857142857142855,0.0
7201,10,5.0,17,7,3,0,14,6,0.5483870967741935,0.22580645161290322,0.25,0.42857142857142855,0.0
7201,11,5.5,17,8,3,0,13,6,0.5483870967741935,0.25806451612903225,0.25,0.42857142857142855,0.0
7201,12,6.0,17,10,3,1,11,7,0.5483870967741935,0.3225806451612903,0.2916666666666667,0.42857142857142855,0.14285714285714285
7201,13,6.5,17,10,3,1,11,7,0.5483870967741935,0.3225806451612903,0.2916666666666667,0.42857142857142855,0.14285714285714285
7201,14,7.0,17,12,3,2,9,8,0.5483870967741935,0.3870967741935484,0.3333333333333333,0.42857142857142855,0.2857142857142857
7201,15,7.5,17,12,3,2,9,8,0.5483870967741935,0.3870967741935484,0.3333333333333333,0.42857142857142855,0.2857142857142857
7201,16,8.0,17,12,3,2,9,8,0.5483870967741935,0.3870967741935484,0.3333333333333333,0.42857142857142855,0.2857142857142857
7201,17,8.5,17,12,3,2,9,8,0.5483870967741935,0.3870967741935484,0.3333333333333333,0.42857142857142855,0.2857142857142857
7201,18,9.0,17,12,3,2,10,8,0.5483870967741935,0.3870967741935484,0.3333333333333333,0.42857142857142855,0.2857142857142857
7201,19,9.5,17,12,3,2,11,8,0.5483870967741935,0.3870967741935484,0.3333333333333333,0.42857142857142855,0.2857142857142857
7201,20,10.0,17,12,3,2,11,8,0.5483870967741935,0.3870967741935484,0.3333333333333333,0.42857142857142855,0.2857142857142857
7201,21,10.5,17,14,3,2,10,10,0.5483870967741935,0.45161290322580644,0.4166666666666667,0.42857142857142855,0.2857142857142857
7201,22,11.0,17,14,3,2,12,10,0.5483870967741935,0.45161290322580644,0.4166666666666667,0.42857142857142855,0.2857142857142857
7201,23,11.5,17,14,3,2,12,10,0.5483870967741935,0.45161290322580644,0.4166666666666667,0.42857142857142855,0.2857142857142857
7201,24,12.0,17,14,3,2,13,10,0.5483870967741935,0.45161290322580644,0.4166666666666667,0.42857142857142855,0.2857142857142857
7201,25,12.5,17,15,3,2,16,11,0.5483870967741935,0.4838709677419355,0.4583333333333333,0.42857142857142855,0.2857142857142857
8301,1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8301,2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8301,3,1.5,5,0,0,0,5,0,0.16129032258064516,0.0,0.0,0.0,0.0
8301,4,2.0,5,0,0,0,5,0,0.16129032258064516,0.0,0.0,0.0,0.0
8301,5,2.5,5,1,1,0,5,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.14285714285714285,0.0
8301,6,3.0,5,3,1,1,3,2,0.16129032258064516,0.0967741935483871,0.08333333333333333,0.14285714285714285,0.14285714285714285
8301,7,3.5,17,11,1,1,7,9,0.5483870967741935,0.3548387096774194,0.375,0.14285714285714285,0.14285714285714285
8301,8,4.0,17,11,2,1,8,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
8301,9,4.5,17,11,2,1,8,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
8301,10,5.0,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
8301,11,5.5,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
8301,12,6.0,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
8301,13,6.5,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
8301,14,7.0,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
8301,15,7.5,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
8301,16,8.0,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
8301,17,8.5,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
8301,18,9.0,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
8301,19,9.5,17,13,2,1,8,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
8301,20,10.0,17,13,2,1,8,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
8301,21,10.5,17,14,2,1,8,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.2857142857142857,0.14285714285714285
8301,22,11.0,17,14,2,1,8,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.2857142857142857,0.14285714285714285
8301,23,11.5,17,14,2,1,8,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.2857142857142857,0.14285714285714285
8301,24,12.0,17,14,2,1,12,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.2857142857142857,0.14285714285714285
8301,25,12.5,17,14,3,1,16,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.42857142857142855,0.14285714285714285
9401,1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9401,2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9401,3,1.5,5,0,0,0,5,0,0.16129032258064516,0.0,0.0,0.0,0.0
9401,4,2.0,5,0,0,0,5,0,0.16129032258064516,0.0,0.0,0.0,0.0
9401,5,2.5,5,0,1,0,6,0,0.16129032258064516,0.0,0.0,0.14285714285714285,0.0
9401,6,3.0,5,2,1,1,4,1,0.16129032258064516,0.06451612903225806,0.041666666666666664,0.14285714285714285,0.14285714285714285
9401,7,3.5,17,8,1,1,10,7,0.5483870967741935,0.25806451612903225,0.2916666666666667,0.14285714285714285,0.14285714285714285
9401,8,4.0,17,8,2,1,11,7,0.5483870967741935,0.25806451612903225,0.2916666666666667,0.2857142857142857,0.14285714285714285
9401,9,4.5,17,8,2,1,11,7,0.5483870967741935,0.25806451612903225,0.2916666666666667,0.2857142857142857,0.14285714285714285
9401,10,5.0,17,9,2,1,10,7,0.5483870967741935,0.2903225806451613,0.2916666666666667,0.2857142857142857,0.14285714285714285
9401,11,5.5,17,10,2,1,9,8,0.5483870967741935,0.3225806451612903,0.3333333333333333,0.2857142857142857,0.14285714285714285
9401,12,6.0,17,10,2,1,9,8,0.5483870967741935,0.3225806451612903,0.3333333333333333,0.2857142857142857,0.14285714285714285
9401,13,6.5,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,14,7.0,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,15,7.5,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,16,8.0,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,17,8.5,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,18,9.0,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,19,9.5,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,20,10.0,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,21,10.5,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,22,11.0,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,23,11.5,17,11,2,1,9,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,24,12.0,17,11,2,1,13,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9401,25,12.5,17,12,3,1,19,10,0.5483870967741935,0.3870967741935484,0.4166666666666667,0.42857142857142855,0.14285714285714285
