donor_id,PUMA,WGTP,NP,TYPE,VEH,HHT,HINCP,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size
donor_h0000667,08900,14,3,1,2.0,3.0,7300.0,lt_10000,2,other_female_householder,no_65_plus,14.0,3
donor_h0000668,08900,12,2,1,3.0,1.0,43000.0,40000_44999,3,married_couple,has_65_plus,12.0,2
donor_h0000669,08900,38,2,1,2.0,1.0,73600.0,60000_74999,2,married_couple,has_65_plus,38.0,2
donor_h0000670,08900,8,1,1,2.0,4.0,26400.0,25000_29999,2,nonfamily_living_alone,has_65_plus,8.0,1
donor_h0000671,08900,9,3,1,0.0,2.0,93200.0,75000_99999,0,other_male_householder,has_65_plus,9.0,3
donor_h0000672,08900,9,2,1,2.0,1.0,51000.0,50000_59999,2,married_couple,no_65_plus,9.0,2
donor_h0000673,08900,23,1,1,1.0,6.0,21000.0,20000_24999,1,nonfamily_not_living_alone,no_65_plus,23.0,1
donor_h0000674,08900,13,2,1,1.0,1.0,48000.0,45000_49999,1,married_couple,no_65_plus,13.0,2
donor_h0000675,08900,24,2,1,1.0,1.0,60000.0,60000_74999,1,married_couple,no_65_plus,24.0,2
donor_h0000676,08900,4,2,1,4.0,1.0,83000.0,75000_99999,4_plus,married_couple,has_65_plus,4.0,2
donor_h0000677,08900,35,2,1,1.0,3.0,22000.0,20000_24999,1,other_female_householder,no_65_plus,35.0,2
donor_h0000678,08900,10,2,1,4.0,1.0,66000.0,60000_74999,4_plus,married_couple,has_65_plus,10.0,2
donor_h0000679,08900,23,2,1,2.0,1.0,26600.0,25000_29999,2,married_couple,no_65_plus,23.0,2
donor_h0000680,08900,7,2,1,2.0,5.0,54200.0,50000_59999,2,nonfamily_living_alone,no_65_plus,7.0,2
donor_h0000681,08900,34,1,1,1.0,4.0,9500.0,lt_10000,1,nonfamily_living_alone,has_65_plus,34.0,1
donor_h0000682,08900,12,2,1,1.0,3.0,12600.0,10000_14999,1,other_female_householder,has_65_plus,12.0,2
donor_h0000683,08900,17,4,1,1.0,3.0,100000.0,100000_124999,1,other_female_householder,no_65_plus,17.0,4
donor_h0000684,08900,12,2,1,2.0,1.0,64400.0,60000_74999,2,married_couple,has_65_plus,12.0,2
donor_h0000685,08900,12,2,1,1.0,1.0,66000.0,60000_74999,1,married_couple,no_65_plus,12.0,2
donor_h0000686,08900,12,2,1,2.0,3.0,30000.0,30000_34999,2,other_female_householder,no_65_plus,12.0,2
donor_h0000687,08900,37,5,1,2.0,1.0,46500.0,45000_49999,2,married_couple,no_65_plus,37.0,5
donor_h0000688,08900,8,2,1,2.0,1.0,77000.0,75000_99999,2,married_couple,no_65_plus,8.0,2
donor_h0000689,08900,8,4,1,0.0,1.0,28000.0,25000_29999,0,married_couple,no_65_plus,8.0,4
donor_h0000690,08900,8,3,1,4.0,1.0,102600.0,100000_124999,4_plus,married_couple,no_65_plus,8.0,3
donor_h0000691,08900,13,4,1,2.0,1.0,43800.0,40000_44999,2,married_couple,has_65_plus,13.0,4
donor_h0000692,08900,68,2,1,1.0,1.0,140000.0,125000_149999,1,married_couple,no_65_plus,68.0,2
donor_h0000693,08900,49,3,1,2.0,3.0,28000.0,25000_29999,2,other_female_householder,no_65_plus,49.0,3
donor_h0000694,08900,11,1,1,1.0,6.0,87300.0,75000_99999,1,nonfamily_not_living_alone,no_65_plus,11.0,1
donor_h0000695,08900,19,2,1,3.0,1.0,16900.0,15000_19999,3,married_couple,has_65_plus,19.0,2
donor_h0000696,08900,18,1,1,1.0,6.0,30000.0,30000_34999,1,nonfamily_not_living_alone,no_65_plus,18.0,1
donor_h0000697,08900,13,1,1,1.0,4.0,49700.0,45000_49999,1,nonfamily_living_alone,has_65_plus,13.0,1
donor_h0000698,08900,14,2,1,2.0,5.0,32000.0,30000_34999,2,nonfamily_living_alone,no_65_plus,14.0,2
donor_h0000699,08900,16,1,1,2.0,4.0,61450.0,60000_74999,2,nonfamily_living_alone,has_65_plus,16.0,1
donor_h0000700,08900,13,2,1,2.0,7.0,93000.0,75000_99999,2,nonfamily_not_living_alone,no_65_plus,13.0,2
donor_h0000701,08900,12,3,1,0.0,2.0,28200.0,25000_29999,0,other_male_householder,has_65_plus,12.0,3
donor_h0000702,08900,11,1,1,1.0,6.0,15400.0,15000_19999,1,nonfamily_not_living_alone,has_65_plus,11.0,1
donor_h0000703,08900,9,1,1,1.0,4.0,40000.0,40000_44999,1,nonfamily_living_alone,no_65_plus,9.0,1
donor_h0000704,08900,11,2,1,3.0,1.0,130600.0,125000_149999,3,married_couple,no_65_plus,11.0,2
donor_h0000705,08900,12,4,1,2.0,1.0,51200.0,50000_59999,2,married_couple,no_65_plus,12.0,4
donor_h0000706,08900,29,2,1,1.0,2.0,45000.0,45000_49999,1,other_male_householder,no_65_plus,29.0,2
donor_h0000707,08900,14,2,1,2.0,1.0,65000.0,60000_74999,2,married_couple,has_65_plus,14.0,2
donor_h0000708,08900,13,1,1,2.0,4.0,57000.0,50000_59999,2,nonfamily_living_alone,no_65_plus,13.0,1
donor_h0000709,08900,12,2,1,2.0,1.0,46700.0,45000_49999,2,married_couple,no_65_plus,12.0,2
donor_h0000710,08900,9,1,1,1.0,6.0,12000.0,10000_14999,1,nonfamily_not_living_alone,no_65_plus,9.0,1
donor_h0000711,08900,13,5,1,3.0,2.0,56000.0,50000_59999,3,other_male_householder,no_65_plus,13.0,5
donor_h0000712,08900,14,1,1,1.0,4.0,10700.0,10000_14999,1,nonfamily_living_alone,no_65_plus,14.0,1
donor_h0000713,08900,40,2,1,2.0,5.0,18000.0,15000_19999,2,nonfamily_living_alone,no_65_plus,40.0,2
donor_h0000714,08900,24,1,1,0.0,6.0,14600.0,10000_14999,0,nonfamily_not_living_alone,has_65_plus,24.0,1
donor_h0000715,08900,25,5,1,2.0,1.0,60000.0,60000_74999,2,married_couple,no_65_plus,25.0,5
donor_h0000716,08900,5,2,1,2.0,1.0,160400.0,150000_199999,2,married_couple,no_65_plus,5.0,2
donor_h0000717,08900,22,2,1,2.0,7.0,14300.0,10000_14999,2,nonfamily_not_living_alone,no_65_plus,22.0,2
donor_h0000718,08900,12,2,1,3.0,1.0,51100.0,50000_59999,3,married_couple,no_65_plus,12.0,2
donor_h0000719,08900,12,1,1,1.0,6.0,71000.0,60000_74999,1,nonfamily_not_living_alone,has_65_plus,12.0,1
donor_h0000720,08900,7,2,1,3.0,1.0,195300.0,150000_199999,3,married_couple,has_65_plus,7.0,2
donor_h0000721,08900,8,4,1,2.0,1.0,125200.0,125000_149999,2,married_couple,no_65_plus,8.0,4
donor_h0000722,08900,4,8,1,5.0,1.0,85000.0,75000_99999,4_plus,married_couple,no_65_plus,4.0,8
donor_h0000723,08900,13,1,1,0.0,6.0,1100.0,lt_10000,0,nonfamily_not_living_alone,no_65_plus,13.0,1
donor_h0000724,08900,9,6,1,4.0,1.0,112900.0,100000_124999,4_plus,married_couple,no_65_plus,9.0,6
donor_h0000725,08900,13,2,1,2.0,3.0,47000.0,45000_49999,2,other_female_householder,no_65_plus,13.0,2
donor_h0000726,08900,13,2,1,2.0,1.0,84600.0,75000_99999,2,married_couple,no_65_plus,13.0,2
donor_h0000727,08900,19,5,1,2.0,1.0,30000.0,30000_34999,2,married_couple,no_65_plus,19.0,5
donor_h0000728,08900,11,2,1,2.0,1.0,52000.0,50000_59999,2,married_couple,no_65_plus,11.0,2
donor_h0000729,08900,12,2,1,2.0,1.0,38400.0,35000_39999,2,married_couple,no_65_plus,12.0,2
donor_h0000730,08900,14,6,1,6.0,1.0,170101.0,150000_199999,4_plus,married_couple,no_65_plus,14.0,6
donor_h0000731,08900,11,2,1,2.0,1.0,42300.0,40000_44999,2,married_couple,has_65_plus,11.0,2
donor_h0000732,08900,6,1,1,1.0,6.0,32360.0,30000_34999,1,nonfamily_not_living_alone,has_65_plus,6.0,1
