donor_id,SPORDER,PWGTP,AGEP,DEAR,DEYE,DOUT,DPHY,DRAT,DREM,RELP,DIS,person_age_group,decision_capable,decision_policy
donor_h0002001,2,10,49,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002002,1,14,40,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002002,2,11,17,2,2,2.0,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002002,3,13,14,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002003,1,42,38,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002003,2,40,41,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002003,3,44,4,2,2,,,,,2,2,0_17,False,dependent
donor_h0002003,4,45,2,2,2,,,,,2,2,0_17,False,dependent
donor_h0002003,5,41,0,2,2,,,,,2,2,0_17,False,dependent
donor_h0002004,1,6,63,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002004,2,7,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002005,1,19,73,1,1,2.0,1.0,,1.0,0,1,65_plus,True,generative
donor_h0002006,1,37,74,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002007,1,12,61,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002007,2,10,56,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002007,3,14,25,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative
donor_h0002007,4,29,23,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative
donor_h0002008,1,18,33,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002008,2,31,26,2,2,2.0,2.0,,2.0,13,2,18_34,True,generative
donor_h0002009,1,8,63,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002009,2,9,47,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002010,1,15,79,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002010,2,14,72,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002011,1,11,64,2,2,1.0,2.0,,2.0,0,1,35_64,True,generative
donor_h0002011,2,12,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002011,3,16,33,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative
donor_h0002012,1,57,52,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002012,2,69,49,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002013,1,11,30,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002013,2,15,33,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative
donor_h0002014,1,43,46,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002014,2,46,18,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative
donor_h0002015,1,4,59,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002015,2,5,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002016,1,25,18,2,2,2.0,2.0,,1.0,0,1,18_34,True,generative
donor_h0002016,2,21,18,2,2,2.0,2.0,,2.0,13,2,18_34,True,generative
donor_h0002017,1,10,65,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002017,2,9,64,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002018,1,8,64,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002019,1,10,69,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002019,2,10,75,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002020,1,5,69,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002021,1,27,25,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002022,1,13,82,2,2,2.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002022,2,14,35,2,2,2.0,2.0,,2.0,7,2,35_64,True,generative
donor_h0002022,3,11,11,2,2,,2.0,,2.0,7,2,0_17,False,dependent
donor_h0002022,4,14,11,2,2,,2.0,,2.0,14,2,0_17,False,dependent
donor_h0002023,1,15,83,2,2,2.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002024,1,9,69,2,2,2.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002025,1,13,52,1,2,2.0,2.0,,2.0,0,1,35_64,True,generative
donor_h0002025,2,13,56,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002026,1,7,77,2,2,2.0,1.0,,1.0,0,1,65_plus,True,generative
donor_h0002026,2,10,75,2,2,2.0,1.0,,1.0,15,1,65_plus,True,generative
donor_h0002027,1,12,75,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002028,1,23,67,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002028,2,21,69,2,2,2.0,2.0,2.0,2.0,1,2,65_plus,True,generative
donor_h0002029,1,2,70,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002029,2,3,70,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002030,1,7,58,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002030,2,7,58,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002031,1,21,84,1,2,2.0,2.0,,2.0,0,1,65_plus,True,generative
donor_h0002031,2,23,84,1,2,2.0,2.0,,2.0,1,1,65_plus,True,generative
donor_h0002032,1,7,68,2,2,2.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002032,2,10,67,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002033,1,69,71,2,2,2.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002033,2,60,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002034,1,15,23,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002034,2,13,22,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative
donor_h0002035,1,16,77,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002035,2,13,83,2,2,1.0,1.0,,1.0,1,1,65_plus,True,generative
donor_h0002036,1,21,61,1,2,1.0,1.0,,1.0,0,1,35_64,True,generative
donor_h0002036,2,23,59,2,2,2.0,2.0,,2.0,10,2,35_64,True,generative
donor_h0002037,1,18,64,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002037,2,26,66,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002038,1,26,53,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002038,2,23,53,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002039,1,16,73,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002040,1,11,85,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002041,1,43,44,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002041,2,62,29,2,2,2.0,2.0,,2.0,5,2,18_34,True,generative
donor_h0002042,1,12,68,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002042,2,11,70,1,2,2.0,2.0,,2.0,1,1,65_plus,True,generative
donor_h0002043,1,10,59,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002043,2,12,60,1,2,1.0,2.0,,1.0,5,1,35_64,True,generative
donor_h0002044,1,13,66,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002044,2,11,72,2,2,2.0,1.0,,2.0,1,1,65_plus,True,generative
donor_h0002045,1,7,60,2,2,2.0,1.0,,2.0,0,1,35_64,True,generative
donor_h0002046,1,12,71,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002047,1,81,48,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002047,2,68,49,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002047,3,86,12,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002047,4,86,10,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002048,1,8,67,2,2,1.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002048,2,15,94,1,1,1.0,1.0,,1.0,6,1,65_plus,True,generative
donor_h0002048,3,10,57,2,2,2.0,2.0,,1.0,15,1,35_64,True,generative
donor_h0002048,4,16,29,2,2,2.0,2.0,,2.0,15,2,18_34,True,generative
donor_h0002049,1,12,31,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002049,2,23,28,2,2,2.0,2.0,,2.0,12,2,18_34,True,generative
donor_h0002050,1,12,45,2,2,1.0,1.0,,2.0,0,1,35_64,True,generative
donor_h0002050,2,12,51,2,2,1.0,1.0,,1.0,1,1,35_64,True,generative
donor_h0002050,3,11,16,2,2,2.0,1.0,,1.0,2,1,0_17,False,dependent
donor_h0002051,1,10,60,2,2,2.0,1.0,,2.0,0,1,35_64,True,generative
donor_h0002052,1,7,56,2,1,2.0,2.0,,2.0,0,1,35_64,True,generative
donor_h0002052,2,7,47,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002052,3,7,18,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative
donor_h0002052,4,6,16,2,2,2.0,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002053,1,21,55,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002053,2,23,57,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002053,3,28,33,2,2,2.0,2.0,,1.0,2,1,18_34,True,generative
donor_h0002054,1,12,40,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002054,2,13,38,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002054,3,19,8,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002055,1,14,65,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
