households,step,hours,metric,runs,mean,minimum,maximum
24,16,8.0,all_safe_household_share,3,0.375,0.3333333333333333,0.4166666666666667
24,16,8.0,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,16,8.0,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,17,8.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,17,8.5,first_departure_share,3,0.3870967741935484,0.3548387096774194,0.41935483870967744
24,17,8.5,all_safe_household_share,3,0.375,0.3333333333333333,0.4166666666666667
24,17,8.5,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,17,8.5,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,18,9.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,18,9.0,first_departure_share,3,0.3870967741935484,0.3548387096774194,0.41935483870967744
24,18,9.0,all_safe_household_share,3,0.375,0.3333333333333333,0.4166666666666667
24,18,9.0,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,18,9.0,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,19,9.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,19,9.5,first_departure_share,3,0.3870967741935484,0.3548387096774194,0.41935483870967744
24,19,9.5,all_safe_household_share,3,0.375,0.3333333333333333,0.4166666666666667
24,19,9.5,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,19,9.5,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,20,10.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,20,10.0,first_departure_share,3,0.3870967741935484,0.3548387096774194,0.41935483870967744
24,20,10.0,all_safe_household_share,3,0.375,0.3333333333333333,0.4166666666666667
24,20,10.0,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,20,10.0,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,21,10.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,21,10.5,first_departure_share,3,0.41935483870967744,0.3548387096774194,0.45161290322580644
24,21,10.5,all_safe_household_share,3,0.4166666666666667,0.375,0.4583333333333333
24,21,10.5,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,21,10.5,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,22,11.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,22,11.0,first_departure_share,3,0.41935483870967744,0.3548387096774194,0.45161290322580644
24,22,11.0,all_safe_household_share,3,0.4166666666666667,0.375,0.4583333333333333
24,22,11.0,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,22,11.0,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,23,11.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,23,11.5,first_departure_share,3,0.41935483870967744,0.3548387096774194,0.45161290322580644
24,23,11.5,all_safe_household_share,3,0.4166666666666667,0.375,0.4583333333333333
24,23,11.5,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,23,11.5,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,24,12.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,24,12.0,first_departure_share,3,0.41935483870967744,0.3548387096774194,0.45161290322580644
24,24,12.0,all_safe_household_share,3,0.4166666666666667,0.375,0.4583333333333333
24,24,12.0,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,24,12.0,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,25,12.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,25,12.5,first_departure_share,3,0.44086021505376344,0.3870967741935484,0.4838709677419355
24,25,12.5,all_safe_household_share,3,0.4444444444444444,0.4166666666666667,0.4583333333333333
24,25,12.5,joint_agreement_household_share,3,0.42857142857142855,0.42857142857142855,0.42857142857142855
24,25,12.5,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
