households,step,hours,metric,runs,mean,minimum,maximum
24,1,0.5,official_recipient_share,3,0.0,0.0,0.0
24,1,0.5,first_departure_share,3,0.0,0.0,0.0
24,1,0.5,all_safe_household_share,3,0.0,0.0,0.0
24,1,0.5,joint_agreement_household_share,3,0.0,0.0,0.0
24,1,0.5,joint_execution_household_share,3,0.0,0.0,0.0
24,2,1.0,official_recipient_share,3,0.0,0.0,0.0
24,2,1.0,first_departure_share,3,0.0,0.0,0.0
24,2,1.0,all_safe_household_share,3,0.0,0.0,0.0
24,2,1.0,joint_agreement_household_share,3,0.0,0.0,0.0
24,2,1.0,joint_execution_household_share,3,0.0,0.0,0.0
24,3,1.5,official_recipient_share,3,0.16129032258064516,0.16129032258064516,0.16129032258064516
24,3,1.5,first_departure_share,3,0.01075268817204301,0.0,0.03225806451612903
24,3,1.5,all_safe_household_share,3,0.013888888888888888,0.0,0.041666666666666664
24,3,1.5,joint_agreement_household_share,3,0.0,0.0,0.0
24,3,1.5,joint_execution_household_share,3,0.0,0.0,0.0
24,4,2.0,official_recipient_share,3,0.16129032258064516,0.16129032258064516,0.16129032258064516
24,4,2.0,first_departure_share,3,0.01075268817204301,0.0,0.03225806451612903
24,4,2.0,all_safe_household_share,3,0.013888888888888888,0.0,0.041666666666666664
24,4,2.0,joint_agreement_household_share,3,0.0,0.0,0.0
24,4,2.0,joint_execution_household_share,3,0.0,0.0,0.0
24,5,2.5,official_recipient_share,3,0.16129032258064516,0.16129032258064516,0.16129032258064516
24,5,2.5,first_departure_share,3,0.02150537634408602,0.0,0.03225806451612903
24,5,2.5,all_safe_household_share,3,0.027777777777777776,0.0,0.041666666666666664
24,5,2.5,joint_agreement_household_share,3,0.09523809523809523,0.0,0.14285714285714285
24,5,2.5,joint_execution_household_share,3,0.0,0.0,0.0
24,6,3.0,official_recipient_share,3,0.16129032258064516,0.16129032258064516,0.16129032258064516
24,6,3.0,first_departure_share,3,0.07526881720430108,0.06451612903225806,0.0967741935483871
24,6,3.0,all_safe_household_share,3,0.06944444444444445,0.041666666666666664,0.08333333333333333
24,6,3.0,joint_agreement_household_share,3,0.09523809523809523,0.0,0.14285714285714285
