households,seed,decision_residents,multi_decision_households,first_departure_share,all_safe_household_share,joint_agreement_household_share,joint_execution_household_share
24,7201,31,7,0.4838709677419355,0.4583333333333333,0.42857142857142855,0.2857142857142857
24,8301,31,7,0.45161290322580644,0.4583333333333333,0.42857142857142855,0.14285714285714285
24,9401,31,7,0.3870967741935484,0.4166666666666667,0.42857142857142855,0.14285714285714285
