sample_id,source_puma,vintage,weight,household_size,household_income,vehicle_count,household_structure,household_older_adult_presence,householder_age_group,hincp_2018_dollars,vehicles_raw,hht_raw
pums_ca_08900_04108,0608900,2018,12,1,100000_124999,2,nonfamily_not_living_alone,no_65_plus,35_64,105100,2,6
pums_ca_08900_04109,0608900,2018,15,3,75000_99999,0,other_female_householder,has_65_plus,65_plus,76100,0,3
pums_ca_08900_04110,0608900,2018,25,3,50000_59999,1,other_female_householder,no_65_plus,35_64,50440,1,3
pums_ca_08900_04111,0608900,2018,17,2,100000_124999,2,married_couple,has_65_plus,65_plus,117200,2,1
pums_ca_08900_04112,0608900,2018,14,1,60000_74999,2,nonfamily_living_alone,has_65_plus,65_plus,72000,2,4
pums_ca_08900_04113,0608900,2018,15,2,150000_199999,1,married_couple,has_65_plus,35_64,164000,1,1
pums_ca_08900_04114,0608900,2018,12,2,125000_149999,2,married_couple,no_65_plus,35_64,128000,2,1
pums_ca_08900_04115,0608900,2018,7,2,75000_99999,1,nonfamily_not_living_alone,no_65_plus,35_64,83800,1,7
pums_ca_08900_04116,0608900,2018,23,5,60000_74999,1,married_couple,no_65_plus,18_34,62400,1,1
pums_ca_08900_04117,0608900,2018,13,3,50000_59999,3,married_couple,has_65_plus,65_plus,55700,3,1
pums_ca_08900_04118,0608900,2018,18,2,100000_124999,2,nonfamily_not_living_alone,has_65_plus,35_64,108600,2,7
pums_ca_08900_04119,0608900,2018,24,4,125000_149999,4_plus,married_couple,no_65_plus,35_64,133500,4,1
pums_ca_08900_04120,0608900,2018,11,1,60000_74999,2,nonfamily_living_alone,no_65_plus,35_64,63000,2,4
pums_ca_08900_04121,0608900,2018,5,1,15000_19999,1,nonfamily_not_living_alone,has_65_plus,65_plus,19220,1,6
pums_ca_08900_04122,0608900,2018,8,1,50000_59999,1,nonfamily_not_living_alone,has_65_plus,65_plus,52100,1,6
pums_ca_08900_04123,0608900,2018,11,1,20000_24999,1,nonfamily_living_alone,has_65_plus,65_plus,22000,1,4
pums_ca_08900_04124,0608900,2018,5,2,125000_149999,4_plus,married_couple,no_65_plus,35_64,125000,4,1
pums_ca_08900_04125,0608900,2018,14,3,35000_39999,2,married_couple,has_65_plus,65_plus,38000,2,1
pums_ca_08900_04126,0608900,2018,16,1,15000_19999,2,nonfamily_living_alone,has_65_plus,65_plus,19100,2,4
pums_ca_08900_04127,0608900,2018,14,1,20000_24999,1,nonfamily_not_living_alone,has_65_plus,65_plus,24700,1,6
pums_ca_08900_04128,0608900,2018,34,2,125000_149999,2,nonfamily_living_alone,no_65_plus,18_34,135000,2,5
pums_ca_08900_04129,0608900,2018,19,2,20000_24999,0,nonfamily_not_living_alone,has_65_plus,65_plus,21600,0,7
pums_ca_08900_04130,0608900,2018,16,2,100000_124999,4_plus,married_couple,has_65_plus,65_plus,110500,4,1
pums_ca_08900_04131,0608900,2018,9,1,40000_44999,1,nonfamily_not_living_alone,no_65_plus,35_64,43600,1,6
pums_ca_08900_04132,0608900,2018,81,2,125000_149999,1,married_couple,no_65_plus,35_64,127000,1,1
