geoid,state_fips,county_fips,tract,geography,attribute,category,estimate,source_table,source_lines,universe,vintage
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_income,35000_39999,36,B19001,B19001 line 8,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_income,40000_44999,30,B19001,B19001 line 9,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_income,45000_49999,46,B19001,B19001 line 10,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_income,50000_59999,87,B19001,B19001 line 11,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_income,60000_74999,102,B19001,B19001 line 12,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_income,75000_99999,122,B19001,B19001 line 13,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_income,lt_10000,95,B19001,B19001 line 2,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_older_adult_presence,has_65_plus,424,B11007,B11007 line 2,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_older_adult_presence,no_65_plus,701,B11007,B11007 line 7,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_structure,married_couple,294,B11001,B11001 line 3,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_structure,nonfamily_living_alone,500,B11001,B11001 line 8,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_structure,nonfamily_not_living_alone,189,B11001,B11001 line 9,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_structure,other_female_householder,56,B11001,B11001 line 6,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",household_structure,other_male_householder,86,B11001,B11001 line 5,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",person_age_group,0_17,336,B01001,"B01001 lines 3,4,5,6,27,28,29,30",Total population,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",person_age_group,18_34,663,B01001,"B01001 lines 7,8,9,10,11,31,32,33,34,35",Total population,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",person_age_group,35_64,965,B01001,"B01001 lines 12,13,14,15,16,17,18,19,36,37,38,39,40,41,42,43",Total population,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",person_age_group,65_plus,500,B01001,"B01001 lines 20,21,22,23,24,25,44,45,46,47,48,49",Total population,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",vehicle_count,0,189,B08201,B08201 line 2,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",vehicle_count,1,553,B08201,B08201 line 3,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",vehicle_count,2,275,B08201,B08201 line 4,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",vehicle_count,3,96,B08201,B08201 line 5,Households,2018
14000US06089010200,06,089,010200,"Census Tract 010200, Shasta County, California",vehicle_count,4_plus,12,B08201,B08201 line 6,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,100000_124999,93,B19001,B19001 line 14,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,10000_14999,120,B19001,B19001 line 3,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,125000_149999,87,B19001,B19001 line 15,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,150000_199999,33,B19001,B19001 line 16,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,15000_19999,43,B19001,B19001 line 4,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,200000_plus,50,B19001,B19001 line 17,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,20000_24999,49,B19001,B19001 line 5,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,25000_29999,100,B19001,B19001 line 6,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,30000_34999,109,B19001,B19001 line 7,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,35000_39999,44,B19001,B19001 line 8,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,40000_44999,87,B19001,B19001 line 9,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,45000_49999,135,B19001,B19001 line 10,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,50000_59999,117,B19001,B19001 line 11,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,60000_74999,230,B19001,B19001 line 12,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,75000_99999,167,B19001,B19001 line 13,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_income,lt_10000,68,B19001,B19001 line 2,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_older_adult_presence,has_65_plus,459,B11007,B11007 line 2,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_older_adult_presence,no_65_plus,1073,B11007,B11007 line 7,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_structure,married_couple,665,B11001,B11001 line 3,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_structure,nonfamily_living_alone,387,B11001,B11001 line 8,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_structure,nonfamily_not_living_alone,207,B11001,B11001 line 9,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_structure,other_female_householder,207,B11001,B11001 line 6,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",household_structure,other_male_householder,66,B11001,B11001 line 5,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",person_age_group,0_17,1018,B01001,"B01001 lines 3,4,5,6,27,28,29,30",Total population,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",person_age_group,18_34,950,B01001,"B01001 lines 7,8,9,10,11,31,32,33,34,35",Total population,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",person_age_group,35_64,1560,B01001,"B01001 lines 12,13,14,15,16,17,18,19,36,37,38,39,40,41,42,43",Total population,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",person_age_group,65_plus,658,B01001,"B01001 lines 20,21,22,23,24,25,44,45,46,47,48,49",Total population,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",vehicle_count,0,107,B08201,B08201 line 2,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",vehicle_count,1,489,B08201,B08201 line 3,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",vehicle_count,2,634,B08201,B08201 line 4,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",vehicle_count,3,155,B08201,B08201 line 5,Households,2018
14000US06089010300,06,089,010300,"Census Tract 010300, Shasta County, California",vehicle_count,4_plus,147,B08201,B08201 line 6,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,100000_124999,138,B19001,B19001 line 14,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,10000_14999,83,B19001,B19001 line 3,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,125000_149999,19,B19001,B19001 line 15,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,150000_199999,37,B19001,B19001 line 16,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,15000_19999,53,B19001,B19001 line 4,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,200000_plus,58,B19001,B19001 line 17,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,20000_24999,139,B19001,B19001 line 5,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,25000_29999,145,B19001,B19001 line 6,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,30000_34999,110,B19001,B19001 line 7,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,35000_39999,126,B19001,B19001 line 8,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,40000_44999,97,B19001,B19001 line 9,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,45000_49999,58,B19001,B19001 line 10,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,50000_59999,114,B19001,B19001 line 11,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,60000_74999,135,B19001,B19001 line 12,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,75000_99999,202,B19001,B19001 line 13,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_income,lt_10000,96,B19001,B19001 line 2,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_older_adult_presence,has_65_plus,456,B11007,B11007 line 2,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_older_adult_presence,no_65_plus,1154,B11007,B11007 line 7,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_structure,married_couple,663,B11001,B11001 line 3,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_structure,nonfamily_living_alone,465,B11001,B11001 line 8,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_structure,nonfamily_not_living_alone,111,B11001,B11001 line 9,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_structure,other_female_householder,295,B11001,B11001 line 6,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",household_structure,other_male_householder,76,B11001,B11001 line 5,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",person_age_group,0_17,841,B01001,"B01001 lines 3,4,5,6,27,28,29,30",Total population,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",person_age_group,18_34,641,B01001,"B01001 lines 7,8,9,10,11,31,32,33,34,35",Total population,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",person_age_group,35_64,2035,B01001,"B01001 lines 12,13,14,15,16,17,18,19,36,37,38,39,40,41,42,43",Total population,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",person_age_group,65_plus,688,B01001,"B01001 lines 20,21,22,23,24,25,44,45,46,47,48,49",Total population,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",vehicle_count,0,154,B08201,B08201 line 2,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",vehicle_count,1,511,B08201,B08201 line 3,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",vehicle_count,2,665,B08201,B08201 line 4,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",vehicle_count,3,161,B08201,B08201 line 5,Households,2018
14000US06089010400,06,089,010400,"Census Tract 010400, Shasta County, California",vehicle_count,4_plus,119,B08201,B08201 line 6,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,100000_124999,112,B19001,B19001 line 14,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,10000_14999,231,B19001,B19001 line 3,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,125000_149999,99,B19001,B19001 line 15,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,150000_199999,40,B19001,B19001 line 16,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,15000_19999,113,B19001,B19001 line 4,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,200000_plus,57,B19001,B19001 line 17,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,20000_24999,78,B19001,B19001 line 5,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,25000_29999,106,B19001,B19001 line 6,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,30000_34999,120,B19001,B19001 line 7,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,35000_39999,245,B19001,B19001 line 8,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,40000_44999,191,B19001,B19001 line 9,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,45000_49999,43,B19001,B19001 line 10,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,50000_59999,95,B19001,B19001 line 11,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,60000_74999,167,B19001,B19001 line 12,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,75000_99999,252,B19001,B19001 line 13,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_income,lt_10000,196,B19001,B19001 line 2,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_older_adult_presence,has_65_plus,428,B11007,B11007 line 2,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_older_adult_presence,no_65_plus,1717,B11007,B11007 line 7,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_structure,married_couple,779,B11001,B11001 line 3,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_structure,nonfamily_living_alone,702,B11001,B11001 line 8,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_structure,nonfamily_not_living_alone,188,B11001,B11001 line 9,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_structure,other_female_householder,376,B11001,B11001 line 6,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",household_structure,other_male_householder,100,B11001,B11001 line 5,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",person_age_group,0_17,1110,B01001,"B01001 lines 3,4,5,6,27,28,29,30",Total population,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",person_age_group,18_34,1360,B01001,"B01001 lines 7,8,9,10,11,31,32,33,34,35",Total population,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",person_age_group,35_64,2429,B01001,"B01001 lines 12,13,14,15,16,17,18,19,36,37,38,39,40,41,42,43",Total population,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",person_age_group,65_plus,708,B01001,"B01001 lines 20,21,22,23,24,25,44,45,46,47,48,49",Total population,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",vehicle_count,0,208,B08201,B08201 line 2,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",vehicle_count,1,1014,B08201,B08201 line 3,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",vehicle_count,2,599,B08201,B08201 line 4,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",vehicle_count,3,295,B08201,B08201 line 5,Households,2018
14000US06089010500,06,089,010500,"Census Tract 010500, Shasta County, California",vehicle_count,4_plus,29,B08201,B08201 line 6,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,100000_124999,108,B19001,B19001 line 14,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,10000_14999,5,B19001,B19001 line 3,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,125000_149999,79,B19001,B19001 line 15,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,150000_199999,83,B19001,B19001 line 16,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,15000_19999,24,B19001,B19001 line 4,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,200000_plus,115,B19001,B19001 line 17,Households,2018
